Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
RKLB,106.73,Call,115,2026-06-18T16:30:00-05:00,2,"1.20 x 135","1.43 x 22",1.31,441,mid,57700,23909,9177,126.40%,0.22698112100636,MLAT,N/A,"13:54:14 ET"
RKLB,106.73,Call,115,2026-06-18T16:30:00-05:00,2,"1.20 x 253","1.43 x 37",1.3,441,mid,57300,23909,9177,126.40%,0.22698112100636,MLET,N/A,"13:54:26 ET"
RKLB,107.21,Call,115,2026-06-26T16:30:00-05:00,10,"3.55 x 188","3.90 x 40",3.72,149,mid,55400,557,1150,95.66%,0.36030523003035,MLAT,N/A,"14:09:09 ET"
RKLB,105.5301,Put,50,2026-10-16T16:30:00-05:00,122,"1.75 x 84","1.82 x 300",1.82,300,ask,54600,500,2047,101.50%,-0.0564458113,AUTO,N/A,"10:54:55 ET"
RKLB,104.92,Call,115,2026-06-18T16:30:00-05:00,2,"1.22 x 441","1.25 x 1",1.22,441,bid,53800,16607,9177,141.24%,0.20516015616126,AUTO,N/A,"10:07:49 ET"
RKLB,104.76,Call,115,2026-06-18T16:30:00-05:00,2,"1.15 x 27","1.23 x 21",1.21,441,mid,53300,18760,9177,145.67%,0.20918293362874,AUTO,N/A,"10:19:49 ET"
RKLB,106.11,Put,105,2026-06-18T16:30:00-05:00,2,"3.05 x 33","3.25 x 43",3.15,168,mid,52900,1724,2787,117.52%,-0.4339563324,MLET,N/A,"15:23:31 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.65 x 30","1.92 x 120",1.8,291,mid,52300,5600,9177,145.80%,0.228679188848,MLET,N/A,"09:39:57 ET"
RKLB,104.92,Call,115,2026-06-18T16:30:00-05:00,2,"1.18 x 440","1.20 x 58",1.18,440,bid,51900,16607,9177,141.24%,0.20516015616126,AUTO,N/A,"10:07:24 ET"
RKLB,104.68,Call,115,2026-06-18T16:30:00-05:00,2,"1.16 x 441","1.21 x 109",1.16,441,bid,51100,19392,9177,141.17%,0.19885963676446,AUTO,N/A,"10:36:26 ET"
RKLB,105.82,Call,105,2026-06-18T16:30:00-05:00,2,"4.45 x 1","4.60 x 16",4.55,110,mid,50000,1102,1688,133.10%,0.55181528475812,AUTO,N/A,"10:41:10 ET"
RKLB,105.475,Call,115,2026-06-18T16:30:00-05:00,2,"1.10 x 115","1.21 x 59",1.18,424,mid,50000,20317,9177,137.62%,0.21304217874199,AUTO,N/A,"10:36:34 ET"
RKLB,104.92,Call,115,2026-06-18T16:30:00-05:00,2,"1.10 x 440","1.18 x 70",1.13,441,mid,49800,16607,9177,141.24%,0.20516015616126,AUTO,N/A,"10:06:53 ET"
RKLB,105.1251,Put,105,2026-06-18T16:30:00-05:00,2,"3.55 x 186","3.95 x 182",3.79,131,mid,49600,1046,2787,123.23%,-0.4758972097,MLAT,N/A,"11:21:51 ET"
RKLB,105.475,Call,115,2026-06-18T16:30:00-05:00,2,"1.15 x 429","1.20 x 71",1.15,429,bid,49300,20317,9177,137.62%,0.21304217874199,AUTO,N/A,"10:36:40 ET"
RKLB,104.92,Call,115,2026-06-18T16:30:00-05:00,2,"1.11 x 389","1.18 x 76",1.11,441,bid,48900,16607,9177,141.24%,0.20516015616126,AUTO,N/A,"10:06:39 ET"
RKLB,104.92,Call,115,2026-06-18T16:30:00-05:00,2,"0.91 x 207","1.10 x 194",1.03,471,mid,48500,16607,9177,141.24%,0.20516015616126,MLAT,N/A,"10:05:16 ET"
RKLB,103.33,Call,115,2026-06-18T16:30:00-05:00,2,"1.09 x 76","1.20 x 44",1.16,411,mid,47600,11141,9177,143.56%,0.17054288715092,MLAT,N/A,"10:01:09 ET"
RKLB,103.33,Call,115,2026-06-18T16:30:00-05:00,2,"1.09 x 55","1.19 x 52",1.15,411,mid,47200,11141,9177,143.56%,0.17054288715092,MLAT,N/A,"10:01:15 ET"
RKLB,105.5,Call,120,2026-06-18T16:30:00-05:00,2,"1.00 x 4","1.18 x 147",1.07,441,mid,47100,5839,14415,148.36%,0.1322035654744,MLET,N/A,"09:39:36 ET"
